Week,winner,home_win,loser,w_score,l_score,w_yards,w_turnovers,l_yards,l_turnovers,winner_penalty_yds ,loser_penalty_yds,winner_top,loser_top
1,eagles,1,Falcons,18,12,232,2,299,1,101,135,1930,1670
1,buccaneers,0,Saints,48,40,529,0,475,2,78,100,2114,1486
1,vikings,1,49ers,24,16,343,1,327,4,119,43,1771,1829
1,dolphins,1,Titans,27,20,342,2,336,3,70,77,1929,1671
1,jaguars,0,Giants,20,15,305,1,324,2,36,44,1870,1730
1,steelers,0,Browns,21,21,472,6,327,1,52,21,1869,1731
1,patriots,1,Texans,27,20,389,3,325,2,51,48,1825,1775
1,bengals,0,Colts,34,23,330,2,380,2,94,91,1632,1968
1,ravens,1,Bills,47,3,369,1,153,2,87,116,2088,2112
1,chiefs,0,Chargers,38,28,362,0,541,2,50,45,1534,2066
1,panthers,1,Cowboys,16,8,293,1,232,1,60,45,2108,1492
1,redskins,0,Cardinals,24,6,429,1,213,2,80,85,1836,1764
1,broncos,1,Seahawks,27,24,470,3,306,3,63,67,2288,1312
1,packers,1,Bears,24,23,370,2,294,1,72,35,1598,2002
1,jets,0,Lions,48,17,349,2,339,5,49,15,1987,1613
1,rams,0,Raiders,33,13,365,0,395,3,70,155,1709,1891
2,bengals,1,Ravens,34,23,373,0,425,3,92,51,1910,1690
2,saints,1,Browns,21,18,275,2,327,1,26,49,1782,1818
2,titans,1,Texans,20,17,283,0,437,1,26,90,1600,2000
2,colts,0,Redskins,21,9,281,2,334,1,70,88,1822,1778
2,chargers,0,Bills,31,20,349,0,293,2,44,55,1461,2139
2,vikings,0,Packers,29,29,480,1,351,0,76,90,1669,1931
2,buccaneers,1,Eagles,27,21,436,2,412,2,10,50,1705,1895
2,falcons,1,Panthers,31,24,442,1,439,1,45,31,1982,1618
2,chiefs,0,Steelers,42,37,449,1,475,0,54,70,2288,1912
2,dolphins,0,Jets,20,12,257,2,362,3,53,43,1961,1639
2,49ers,1,Lions,30,27,346,0,427,1,86,105,1774,1826
2,rams,1,Cardinals,34,0,432,1,137,1,49,47,2048,1552
2,broncos,1,Raiders,20,19,385,1,373,0,71,25,1846,1754
2,jaguars,1,Patriots,31,20,480,2,302,1,35,30,1624,1976
2,cowboys,1,Giants,20,13,298,0,255,1,47,24,1668,1932
2,bears,1,Seahawks,24,17,271,2,276,2,55,37,2064,1536
3,browns,1,Jets,21,17,323,0,268,3,41,55,1852,1748
3,saints,0,Falcons,43,37,534,0,407,0,120,54,2265,1760
3,chiefs,1,49ers,38,27,384,0,406,0,66,115,1745,1855
3,dolphins,1,Raiders,28,20,373,0,434,2,110,77,2412,1188
3,titans,0,Jaguars,9,6,233,0,232,1,84,59,2145,1455
3,ravens,1,Broncos,27,14,342,0,293,1,74,38,1289,2311
3,giants,0,Texans,27,22,379,0,427,2,52,120,1814,1786
3,eagles,1,Colts,20,16,379,2,209,0,17,36,2035,1565
3,Bills,0,Vikings,27,6,292,0,292,3,20,50,2130,1470
3,Redskins,1,Packers,31,17,386,1,340,1,30,75,1967,1633
3,Panthers,1,Bengals,31,21,377,0,396,4,48,147,1801,1799
3,Rams,1,Chargers,35,23,521,2,356,2,64,30,2056,1544
3,Seahawks,1,Cowboys,24,13,295,0,303,3,67,55,1964,1636
3,Bears,0,Cardinals,16,14,316,2,221,4,45,43,2181,1419
3,Lions,1,Patriots,26,10,414,1,209,1,70,38,2355,1245
3,Steelers,0,Buccaneers,30,27,413,1,455,4,155,80,1821,1779
4,Rams,1,Vikings,38,31,556,0,446,1,15,35,1666,1934
4,Cowboys,1,Lions,26,24,414,0,382,0,89,43,2255,1345
4,Bears,1,Buccaneers,48,10,483,0,311,3,57,89,2182,1418
4,Titans,1,Eagles,26,23,397,1,432,1,30,77,2130,2065
4,Bengals,0,Falcons,37,36,407,1,495,0,54,85,2404,1796
4,Patriots,1,Dolphins,38,7,449,2,172,2,60,20,2077,1523
4,Jaguars,1,Jets,31,12,503,3,178,0,20,58,1805,1795
4,Texans,0,Colts,37,34,466,1,478,2,38,99,1686,1914
4,Packers,1,Bills,22,0,423,2,145,3,55,95,1838,1762
4,Seahawks,0,Cardinals,20,17,331,0,263,1,57,38,1906,1694
4,Raiders,1,Browns,45,42,565,2,487,4,65,55,2211,1883
4,Saints,0,Giants,33,18,389,0,299,2,51,67,1860,1740
4,Chargers,1,49ers,29,27,368,1,364,2,49,29,1946,1654
4,Ravens,0,Steelers,26,14,451,1,284,2,50,40,2103,1497
4,Chiefs,0,Broncos,27,23,446,0,385,1,93,25,2102,1498
5,Patriots,1,Colts,38,24,438,2,439,3,50,35,1654,1946
5,Panthers,1,Giants,33,31,350,2,432,3,30,40,2029,1571
5,Bills,1,Titans,13,12,223,1,221,3,58,75,1748,1852
5,Lions,1,Packers,31,23,264,0,521,3,33,45,1734,1866
5,Bengals,1,Dolphins,27,17,332,1,297,3,105,45,1963,1637
5,Steelers,1,Falcons,41,17,381,1,324,1,71,112,1600,2000
5,Chiefs,1,Jaguars,30,14,424,2,502,5,66,41,2176,2022
5,Browns,1,Ravens,12,9,416,1,410,2,22,62,2127,1473
5,Jets,1,Broncos,34,16,512,2,436,1,47,85,1835,1765
5,Chargers,1,Raiders,26,10,412,0,289,2,82,55,2080,1520
5,Vikings,0,Eagles,23,21,375,1,364,2,46,65,1188,2412
5,Cardinals,0,49ers,28,18,220,0,447,5,23,52,1967,1633
5,Rams,0,Seahawks,33,31,468,2,373,0,45,50,1770,1830
5,Texans,1,Cowboys,19,16,462,2,292,2,25,72,2198,1892
5,Saints,1,Redskins,43,19,447,1,283,2,45,38,1997,1603
6,Eagles,0,Giants,34,13,379,0,401,1,25,61,1950,1650
6,Redskins,1,Panthers,23,17,288,0,350,3,30,20,1899,1701
6,Dolphins,1,Bears,31,28,541,3,467,3,43,55,2124,1476
6,Chargers,0,Browns,38,14,449,1,317,2,64,38,1886,1714
6,Jets,1,Colts,42,34,374,2,428,4,49,66,2222,1378
6,Texans,1,Bills,20,13,216,3,229,3,52,30,2062,1538
6,Seahawks,0,Raiders,27,3,369,1,185,2,69,30,2096,1504
6,Steelers,0,Bengals,28,21,481,0,275,0,72,53,1897,1703
6,Vikings,1,Cardinals,27,17,411,2,268,2,50,104,1620,1980
6,Falcons,1,Buccaneers,34,29,417,0,510,2,67,58,2195,2005
6,Rams,0,Broncos,23,20,444,1,357,1,81,61,2110,1490
6,Ravens,0,Titans,21,0,361,1,106,0,70,35,2254,1346
6,Cowboys,1,Jaguars,40,7,378,0,204,2,25,30,2330,1270
6,Patriots,1,Chiefs,43,40,500,1,446,2,0,58,2169,1431
6,Packers,1,49ers,33,30,521,0,401,3,54,10,1868,1732
7,Broncos,0,Cardinals,45,10,309,1,223,5,50,45,1849,1751
7,Chargers,1,Titans,20,19,344,0,390,1,31,32,1477,2123
7,Panthers,0,Eagles,21,17,371,0,342,1,35,15,1775,1825
7,Lions,0,Dolphins,32,21,457,0,322,0,78,35,1483,2117
7,Patriots,0,Bears,38,31,381,3,453,2,55,71,1931,1669
7,Vikings,0,Jets,37,17,316,0,263,4,64,40,1791,1809
7,Buccaneers,1,Browns,26,23,456,4,305,1,35,59,1999,1601
7,Colts,1,Bills,37,5,376,0,303,5,65,114,2263,1827
7,Texans,0,Jaguars,20,7,272,0,259,3,43,50,2019,1581
7,Saints,0,Ravens,24,23,339,1,351,0,52,54,2011,1589
7,Redskins,1,Cowboys,20,17,305,0,323,2,35,65,1855,1745
7,Rams,0,49ers,39,10,339,0,228,4,10,10,1971,1629
7,Chiefs,1,Bengals,45,10,551,1,239,1,49,58,2023,1577
7,Falcons,1,Giants,23,20,423,1,433,0,29,58,1937,1663
8,Texans,1,Dolphins,42,23,427,0,370,1,57,63,1731,1869
8,Eagles,0,Jaguars,24,18,395,2,335,1,36,45,1958,1642
8,Bears,1,Jets,24,10,395,0,207,0,50,83,1639,1961
8,Panthers,1,Ravens,36,21,386,0,325,3,60,52,1932,1668
8,Seahawks,0,Lions,28,14,413,0,331,3,90,102,2018,1582
8,Bengals,1,Buccaneers,37,34,402,0,576,4,111,32,2095,1505
8,Redskins,0,Giants,20,13,360,1,303,2,46,75,1441,2159
8,Chiefs,1,Broncos,30,23,340,1,411,2,25,45,1964,1636
8,Steelers,1,Browns,33,18,421,2,237,1,30,68,2041,1559
8,Colts,0,Raiders,42,28,461,0,347,1,77,79,2190,1410
8,Rams,1,Packers,29,27,416,0,359,1,62,59,1661,1939
