team,division,home_wins,home_losses,away_wins,away_losses,points_per_game,yards_per_game,plays_per_game,average_yards_per_play,turnovers_per_game,first_downs_per_game,pass_per_game,pass_percentage,pass_touchdown_per_game,yards_per_pass,rush_per_game,rush_touchdown_per_game,yards_per_rush,scores_per_drive,turnovers_per_drive,allowed_points_per_game,allowed_yards_per_game,allowed_yards_per_play,allowed_pass_yards_per_play,allowed_rush_yards_per_play,turnovers_per_game,allowed_first_downs_per_game,allowed_pass_percentage,penalty_yards_against,allowed_scores_per_drive,turnovers_per_drive
49ers,"seahawks,rams,cardinals",4,4,0,8,21.375,360.5625,62.6875,5.8,2,21.5,33.25,0.62218045112782,1.625,6.7,26.4375,0.4375,4.5,37,17.1,27.1875,346.625,5.4,6.4,4.1,0.4375,21.0625,0.634686346863469,63.1875,39.8,3.9
bears,"vikings,packers,lions",7,1,5,3,26.3125,343.875,63.3125,5.4,1.5,20.6875,32,0.671875,1.75,6.5,29.25,1,4.1,36.8,13.2,17.6875,299.6875,4.8,5.3,3.8,2.25,17.375,0.613008130081301,63.875,28.6,19.5
bengals,"steelers,browns,ravens",4,4,2,6,23,310.75,58.625,5.3,1.0625,19,33.875,0.61070110701107,1.6875,5.7,22.4375,0.8125,4.7,35.5,9.6,28.4375,413.625,6.1,7.1,4.7,1.125,23.25,0.666095890410959,59,46.3,10.2
bills,"jets,dolphins,patriots",4,4,2,6,16.8125,298.625,63,4.7,2,17.6875,31.1875,0.543086172344689,0.8125,5.2,29.25,0.9375,4.2,26.4,15.5,23.375,294.125,4.9,5.4,4.2,1.6875,18.3125,0.636178861788618,61,33.3,14.3
broncos,"raiders,chiefs,chargers",3,5,3,5,20.5625,350.125,63.4375,5.5,1.3125,20,36.75,0.624149659863946,1.1875,5.9,24.5625,1.125,4.9,30.6,11.3,21.8125,365.125,5.7,6.6,4.5,1.75,19.875,0.642987249544627,62.875,34.1,14.1
browns,"steelers,ravens,bengals",5,2,2,6,22.4375,368.75,63.9375,5.8,1.5,19.625,35.875,0.614982578397213,1.8125,6.5,25.6875,0.9375,4.6,31.2,11.4,24.5,393,5.6,6.2,4.7,1.9375,23.5625,0.62779552715655,61.875,35.3,15.4
buccaneers,"panthers,falcons,saints",4,4,1,7,24.75,415.5,65.9375,6.3,2.1875,24.25,39.0625,0.6528,2.25,7.7,24.3125,0.6875,3.9,37,19,29,383.375,6.1,7.3,4.7,1.0625,22.25,0.724719101123595,72.25,40.7,8.2
cardinals,"rams,49ers,seahawks",1,7,2,6,14.0625,241.5625,56.375,4.3,1.75,14.9375,30.9375,0.571717171717172,0.9375,4.6,22.1875,0.5625,3.8,19.3,15,26.5625,358.8125,5.4,5.9,4.9,1,22.3125,0.675889328063241,49.375,38,8.6
chargers,"raiders,broncos,chiefs",5,3,7,1,26.75,372.625,59.0625,6.3,1.1875,21.125,32,0.6796875,2,7.5,24.9375,1,4.7,42.4,10,20.5625,333.6875,5.4,6.2,4.3,1.25,19.4375,0.64051094890511,51.75,33.7,11.8
chiefs,"raiders,chargers,broncos",7,1,5,3,35.3125,425.625,62.25,6.8,1.125,24,36.4375,0.660377358490566,3.125,8.1,24.1875,1,4.8,52.6,10.5,26.3125,405.5,5.9,6.4,5,1.6875,26.1875,0.642405063291139,55.0625,40.8,14.9
